Line #,alphaTrack,alphaField,betaTrack,betaField,deltaTrack,deltaField,gammaTrack,gammaField,x,id,name,houseChoice,house,regChoice,totalAlpha,totalBeta,totalDelta,totalGamma,totalAlphaPersons,totalBetaPersons,totalDeltaPersons,totalGammaPersons,Expected Output
1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,alphaTrack := 0
2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,alphaField := 0
3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,betaTrack := 0
4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,betaField := 0
5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,deltaTrack := 0
6,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,deltaField := 0
7,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,gammaTrack := 0
8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,gammaField := 0
9,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,Writeln('     Welcome to the Sports Registration          ')
10,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,For x := 1 To 12 Do
11,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,Writeln('-----[ Registering Student 1 of 12 ]-----')
12,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,Write('Enter Student ID: ')
13,0,0,0,0,0,0,0,0,1,1008,,,,,,,,,,,,,Readln(id) = 1008
14,0,0,0,0,0,0,0,0,1,1008,,,,,,,,,,,,,Write('Enter Full Name: ')
15,0,0,0,0,0,0,0,0,1,1008,Sabrina Harrington,,,,,,,,,,,,Readln(name) = Sabrina Harrington
16,0,0,0,0,0,0,0,0,1,1008,Sabrina Harrington,,,,,,,,,,,,Writeln('Select House:')
17,0,0,0,0,0,0,0,0,1,1008,Sabrina Harrington,,,,,,,,,,,,Writeln('  1. Alpha')
18,0,0,0,0,0,0,0,0,1,1008,Sabrina Harrington,,,,,,,,,,,,Writeln('  2. Beta')
19,0,0,0,0,0,0,0,0,1,1008,Sabrina Harrington,,,,,,,,,,,,Writeln('  3. Delta')
20,0,0,0,0,0,0,0,0,1,1008,Sabrina Harrington,,,,,,,,,,,,Writeln('  4. Gamma')
21,0,0,0,0,0,0,0,0,1,1008,Sabrina Harrington,,,,,,,,,,,,Write('Enter choice (1-4): ')
22,0,0,0,0,0,0,0,0,1,1008,Sabrina Harrington,1,,,,,,,,,,,Readln(houseChoice) = 1
25,0,0,0,0,0,0,0,0,1,1008,Sabrina Harrington,1,,,,,,,,,,,Until (houseChoice >= 1) AND (houseChoice <= 4)
26,0,0,0,0,0,0,0,0,1,1008,Sabrina Harrington,1,,,,,,,,,,,Case houseChoice Of
27,0,0,0,0,0,0,0,0,1,1008,Sabrina Harrington,1,ALPHA,,,,,,,,,,1: house := 'ALPHA' = ALPHA
31,0,0,0,0,0,0,0,0,1,1008,Sabrina Harrington,1,ALPHA,,,,,,,,,,Writeln('Select Registration Type:')
32,0,0,0,0,0,0,0,0,1,1008,Sabrina Harrington,1,ALPHA,,,,,,,,,,Writeln('  1. Track ($50 USD)')
33,0,0,0,0,0,0,0,0,1,1008,Sabrina Harrington,1,ALPHA,,,,,,,,,,Writeln('  2. Field ($40 USD)')
34,0,0,0,0,0,0,0,0,1,1008,Sabrina Harrington,1,ALPHA,,,,,,,,,,Write('Enter choice (1-2): ')
35,0,0,0,0,0,0,0,0,1,1008,Sabrina Harrington,1,ALPHA,2,,,,,,,,,Readln(regChoice) = 2
38,0,0,0,0,0,0,0,0,1,1008,Sabrina Harrington,1,ALPHA,2,,,,,,,,,Until (regChoice = 1) OR (regChoice = 2)
39,0,0,0,0,0,0,0,0,1,1008,Sabrina Harrington,1,ALPHA,2,,,,,,,,,Case houseChoice Of
40,0,0,0,0,0,0,0,0,1,1008,Sabrina Harrington,1,ALPHA,2,,,,,,,,,1:
42,0,40,0,0,0,0,0,0,1,1008,Sabrina Harrington,1,ALPHA,2,,,,,,,,,Else alphaField := alphaField + 40 = 40
52,0,40,0,0,0,0,0,0,1,1008,Sabrina Harrington,1,ALPHA,2,,,,,,,,,Writeln('Registration Successful!')
53,0,40,0,0,0,0,0,0,1,1008,Sabrina Harrington,1,ALPHA,2,,,,,,,,,"Writeln('  Name : ', name, ' | House: ', house) = Sabrina Harrington | ALPHA"
10,0,40,0,0,0,0,0,0,2,1008,Sabrina Harrington,1,ALPHA,2,,,,,,,,,For x := 1 To 12 Do
11,0,40,0,0,0,0,0,0,2,1008,Sabrina Harrington,1,ALPHA,2,,,,,,,,,Writeln('-----[ Registering Student 2 of 12 ]-----')
12,0,40,0,0,0,0,0,0,2,1008,Sabrina Harrington,1,ALPHA,2,,,,,,,,,Write('Enter Student ID: ')
13,0,40,0,0,0,0,0,0,2,1011,Sabrina Harrington,1,ALPHA,2,,,,,,,,,Readln(id) = 1011
14,0,40,0,0,0,0,0,0,2,1011,Sabrina Harrington,1,ALPHA,2,,,,,,,,,Write('Enter Full Name: ')
15,0,40,0,0,0,0,0,0,2,1011,Phoenix Boodoosingh,1,ALPHA,2,,,,,,,,,Readln(name) = Phoenix Boodoosingh
16,0,40,0,0,0,0,0,0,2,1011,Phoenix Boodoosingh,1,ALPHA,2,,,,,,,,,Writeln('Select House:')
17,0,40,0,0,0,0,0,0,2,1011,Phoenix Boodoosingh,1,ALPHA,2,,,,,,,,,Writeln('  1. Alpha')
18,0,40,0,0,0,0,0,0,2,1011,Phoenix Boodoosingh,1,ALPHA,2,,,,,,,,,Writeln('  2. Beta')
19,0,40,0,0,0,0,0,0,2,1011,Phoenix Boodoosingh,1,ALPHA,2,,,,,,,,,Writeln('  3. Delta')
20,0,40,0,0,0,0,0,0,2,1011,Phoenix Boodoosingh,1,ALPHA,2,,,,,,,,,Writeln('  4. Gamma')
21,0,40,0,0,0,0,0,0,2,1011,Phoenix Boodoosingh,1,ALPHA,2,,,,,,,,,Write('Enter choice (1-4): ')
22,0,40,0,0,0,0,0,0,2,1011,Phoenix Boodoosingh,1,ALPHA,2,,,,,,,,,Readln(houseChoice) = 1
25,0,40,0,0,0,0,0,0,2,1011,Phoenix Boodoosingh,1,ALPHA,2,,,,,,,,,Until (houseChoice >= 1) AND (houseChoice <= 4)
