Line #,alphaTrack,alphaField,betaTrack,betaField,deltaTrack,deltaField,gammaTrack,gammaField,x,id,name,houseChoice,house,regChoice,regType,totalAlpha,totalBeta,totalDelta,totalGamma,Expected Output
1,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2,0,0,0,0,0,0,0,0,,,,,,,,,,,,
3,0,0,0,0,0,0,0,0,,,,,,,,,,,,
4,0,0,0,0,0,0,0,0,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,,,,,,,,,,,,
6,0,0,0,0,0,0,0,0,,,,,,,,,,,,
7,0,0,0,0,0,0,0,0,,,,,,,,,,,,
8,0,0,0,0,0,0,0,0,,,,,,,,,,,,
9,0,0,0,0,0,0,0,0,,,,,,,,,,,,-------------------------------------------------
10,0,0,0,0,0,0,0,0,,,,,,,,,,,,     Welcome to the Sports Registration       
11,0,0,0,0,0,0,0,0,,,,,,,,,,,,-------------------------------------------------
12,0,0,0,0,0,0,0,0,,,,,,,,,,,,
13,0,0,0,0,0,0,0,0,1,,,,,,,,,,,─[ Registering Student 1 of 12 ]─
14,0,0,0,0,0,0,0,0,1,ST001,Alice,1,,1,,,,,,Enter Student ID: 
15,0,0,0,0,0,0,0,0,1,ST001,Alice,1,,1,,,,,,Student ID entered: ST001
16,0,0,0,0,0,0,0,0,1,ST001,Alice,1,,1,,,,,,Enter Full Name: 
17,0,0,0,0,0,0,0,0,1,ST001,Alice,1,,1,,,,,,Full Name entered: Alice
18,0,0,0,0,0,0,0,0,1,ST001,Alice,1,,1,,,,,,Select House:
19,0,0,0,0,0,0,0,0,1,ST001,Alice,1,,1,,,,,,  1. Alpha
20,0,0,0,0,0,0,0,0,1,ST001,Alice,1,,1,,,,,,  2. Beta
21,0,0,0,0,0,0,0,0,1,ST001,Alice,1,,1,,,,,,  3. Delta
22,0,0,0,0,0,0,0,0,1,ST001,Alice,1,,1,,,,,,  4. Gamma
23,0,0,0,0,0,0,0,0,1,ST001,Alice,1,,1,,,,,,House choice entered: 1
24,0,0,0,0,0,0,0,0,1,ST001,Alice,1,ALPHA,1,,,,,,House set to: ALPHA
25,0,0,0,0,0,0,0,0,1,ST001,Alice,1,ALPHA,1,,,,,,Select Registration Type:
26,0,0,0,0,0,0,0,0,1,ST001,Alice,1,ALPHA,1,,,,,,  1. Track
